State  Code,STATE,Population,Area(In sq. km),Population per sq. km.,State,Male_Population,Females_Population,Total_Literates,Males_Literates,Females_Literates
1,JAMMU & KASHMIR,12541302,222236.0,124,1,6640662,5900640,7067233,4264671,2802562
2,HIMACHAL PRADESH,6864602,55673.0,123,2,3481873,3382729,5039736,2752590,2287146
3,PUNJAB,27743338,50362.0,551,3,14639465,13103873,18707137,10436056,8271081
4,CHANDIGARH,1055450,114.0,9258,4,580663,474787,805438,465346,340092
5,UTTARAKHAND,10086292,53483.0,189,5,5137773,4948519,6880953,3863708,3017245
6,HARYANA,25351462,44212.0,573,6,13494734,11856728,16598988,9794067,6804921
7,NCT OF DELHI,16787941,1483.0,11320,7,8987326,7800615,12737767,7194856,5542911
8,RAJASTHAN,68548437,342239.0,200,8,35550997,32997440,38275282,23688412,14586870
9,UTTAR PRADESH,199812341,240928.0,829,9,104480510,95331831,114397555,68234964,46162591
10,BIHAR,104099452,94163.0,1106,10,54278157,49821295,52504553,31608023,20896530
11,SIKKIM,610577,7096.0,86,11,323070,287507,444952,251269,193683
12,ARUNACHAL PRADESH,1383727,83743.0,17,12,713912,669815,766005,439868,326137
13,NAGALAND,1978502,16579.0,119,13,1024649,953853,1342434,723957,618477
14,MANIPUR,2855794,22327.0,128,14,1438586,1417208,1908476,1039858,868618
15,MIZORAM,1097206,21081.0,52,15,555339,541867,848175,438529,409646
16,TRIPURA,3673917,10486.0,350,16,1874376,1799541,2804783,1501369,1303414
17,MEGHALAYA,2966889,22429.0,132,17,1491832,1475057,1785005,913879,871126
18,ASSAM,31205576,78438.0,398,18,15939443,15266133,19177977,10568639,8609338
19,WEST BENGAL,91276115,88752.0,1028,19,46809027,44467088,61538281,33818810,27719471
20,JHARKHAND,32988134,79716.0,414,20,16930315,16057819,18328069,10882519,7445550
21,ODISHA,41974218,155707.0,270,21,21212136,20762082,26742595,15089681,11652914
22,CHHATTISGARH,25545198,135192.0,189,22,12832895,12712303,15379922,8807893,6572029
23,MADHYA PRADESH,72626809,308252.0,236,23,37612306,35014503,42851169,25174328,17676841
24,GUJARAT,60439692,196244.0,308,24,31491260,28948432,41093358,23474873,17618485
25,DAMAN & DIU,243247,111.0,2191,25,150301,92946,188406,124643,63763
26,DADRA & NAGAR HAVELI,343709,491.0,700,26,193760,149949,223230,142521,80709
27,MAHARASHTRA,112374333,307713.0,365,27,58243056,54131277,81554290,45257584,36296706
28,ANDHRA PRADESH,84580777,275045.0,308,28,42442146,42138631,50556760,28251243,22305517
29,KARNATAKA,61095297,191791.0,319,29,30966657,30128640,40647322,22508471,18138851
30,GOA,1458545,3702.0,394,30,739140,719405,1165487,615823,549664
31,LAKSHADWEEP,64473,30.0,2149,31,33123,31350,52553,28023,24530
32,KERALA,33406061,38852.0,860,32,16027412,17378649,28135824,13704903,14430921
33,TAMIL NADU,72147030,130060.0,555,33,36137975,36009055,51837507,28040491,23797016
34,PUDUCHERRY,1247953,490.0,2547,34,612511,635442,957309,497378,459931
35,ANDAMAN & NICOBAR ISLANDS,380581,8249.0,46,35,202871,177710,294281,164377,129904
